election.date,county,unknown.flag,name,addr.line.1,addr.line.2,open.date,hours,lon,lat
11/08/2016,MECKLENBURG,N,NORTH COUNTY REGIONAL LIBRARY,16500 HOLLY CREST LN,"HUNTERSVILLE, NC 28078",10/26/2016,8:00AM - 7:00PM,-80.8639606,35.4406835
11/08/2016,MECKLENBURG,N,NORTH COUNTY REGIONAL LIBRARY,16500 HOLLY CREST LN,"HUNTERSVILLE, NC 28078",10/27/2016,8:00AM - 7:00PM,-80.8639606,35.4406835
11/08/2016,MECKLENBURG,N,NORTH COUNTY REGIONAL LIBRARY,16500 HOLLY CREST LN,"HUNTERSVILLE, NC 28078",10/28/2016,8:00AM - 7:00PM,-80.8639606,35.4406835
11/08/2016,MECKLENBURG,N,NORTH COUNTY REGIONAL LIBRARY,16500 HOLLY CREST LN,"HUNTERSVILLE, NC 28078",10/29/2016,9:00AM - 6:00PM,-80.8639606,35.4406835
11/08/2016,MECKLENBURG,N,NORTH COUNTY REGIONAL LIBRARY,16500 HOLLY CREST LN,"HUNTERSVILLE, NC 28078",10/30/2016,1:00PM - 6:00PM,-80.8639606,35.4406835
11/08/2016,MECKLENBURG,N,NORTH COUNTY REGIONAL LIBRARY,16500 HOLLY CREST LN,"HUNTERSVILLE, NC 28078",10/31/2016,8:00AM - 7:00PM,-80.8639606,35.4406835
11/08/2016,MECKLENBURG,N,NORTH COUNTY REGIONAL LIBRARY,16500 HOLLY CREST LN,"HUNTERSVILLE, NC 28078",11/01/2016,8:00AM - 7:00PM,-80.8639606,35.4406835
11/08/2016,MECKLENBURG,N,NORTH COUNTY REGIONAL LIBRARY,16500 HOLLY CREST LN,"HUNTERSVILLE, NC 28078",11/02/2016,8:00AM - 7:00PM,-80.8639606,35.4406835
11/08/2016,MECKLENBURG,N,NORTH COUNTY REGIONAL LIBRARY,16500 HOLLY CREST LN,"HUNTERSVILLE, NC 28078",11/03/2016,8:00AM - 7:00PM,-80.8639606,35.4406835
11/08/2016,MECKLENBURG,N,NORTH COUNTY REGIONAL LIBRARY,16500 HOLLY CREST LN,"HUNTERSVILLE, NC 28078",11/04/2016,8:00AM - 7:00PM,-80.8639606,35.4406835
11/08/2016,MECKLENBURG,N,NORTH COUNTY REGIONAL LIBRARY,16500 HOLLY CREST LN,"HUNTERSVILLE, NC 28078",11/05/2016,9:00AM - 1:00PM,-80.8639606,35.4406835
11/08/2016,MECKLENBURG,N,SOUTH COUNTY REGIONAL LIBRARY,5801 REA RD,"CHARLOTTE, NC 28277",10/20/2016,Closed,-80.8115514,35.0865366
